ID,population,age,sex,relationship,emotion,chose_emotion
S086,child,8.344292237442923,M,friend,sad,0
S087,child,9.258219178082191,F,bestfriend,happy,1
S087,child,9.258219178082191,F,bestfriend,sad,1
S087,child,9.258219178082191,F,friend,happy,1
S087,child,9.258219178082191,F,friend,sad,0
S088,child,6.162785388127854,F,bestfriend,happy,1
S088,child,6.162785388127854,F,bestfriend,sad,1
S088,child,6.162785388127854,F,friend,happy,1
S088,child,6.162785388127854,F,friend,sad,1
S089,child,7.18310502283105,M,bestfriend,happy,1
S089,child,7.18310502283105,M,bestfriend,sad,1
S089,child,7.18310502283105,M,friend,happy,0
S089,child,7.18310502283105,M,friend,sad,0
S090,child,7.707762557077626,F,bestfriend,happy,0
S090,child,7.707762557077626,F,bestfriend,sad,1
S090,child,7.707762557077626,F,friend,happy,0
S090,child,7.707762557077626,F,friend,sad,1
S091,child,6.052054794520548,F,bestfriend,happy,1
S091,child,6.052054794520548,F,bestfriend,sad,0
S091,child,6.052054794520548,F,friend,happy,1
S091,child,6.052054794520548,F,friend,sad,0
S092,child,8.438584474885845,M,bestfriend,happy,1
S092,child,8.438584474885845,M,bestfriend,sad,0
S092,child,8.438584474885845,M,friend,happy,0
S092,child,8.438584474885845,M,friend,sad,0
S093,child,8.84703196347032,F,bestfriend,happy,1
S093,child,8.84703196347032,F,bestfriend,sad,1
S093,child,8.84703196347032,F,friend,happy,0
S093,child,8.84703196347032,F,friend,sad,0
S094,child,7.468721461187215,M,bestfriend,happy,1
S094,child,7.468721461187215,M,bestfriend,sad,1
S094,child,7.468721461187215,M,friend,happy,0
S094,child,7.468721461187215,M,friend,sad,0
S095,child,8.01095890410959,F,bestfriend,happy,0
S095,child,8.01095890410959,F,bestfriend,sad,0
S095,child,8.01095890410959,F,friend,happy,0
S095,child,8.01095890410959,F,friend,sad,1
S096,child,6.299315068493151,M,bestfriend,happy,1
S096,child,6.299315068493151,M,bestfriend,sad,1
S096,child,6.299315068493151,M,friend,happy,1
S096,child,6.299315068493151,M,friend,sad,1
S097,child,6.471461187214612,M,bestfriend,happy,1
S097,child,6.471461187214612,M,bestfriend,sad,0
S097,child,6.471461187214612,M,friend,happy,1
S097,child,6.471461187214612,M,friend,sad,1
S098,child,7.422146118721462,F,bestfriend,happy,1
S098,child,7.422146118721462,F,bestfriend,sad,0
S098,child,7.422146118721462,F,friend,happy,0
S098,child,7.422146118721462,F,friend,sad,1
S099,child,8.218721461187213,M,bestfriend,happy,0
S099,child,8.218721461187213,M,bestfriend,sad,1
S099,child,8.218721461187213,M,friend,happy,0
S099,child,8.218721461187213,M,friend,sad,1
S100,child,6.571232876712329,F,bestfriend,happy,1
S100,child,6.571232876712329,F,bestfriend,sad,0
S100,child,6.571232876712329,F,friend,happy,1
S100,child,6.571232876712329,F,friend,sad,1
S101,child,8.743378995433789,M,bestfriend,happy,0
S101,child,8.743378995433789,M,bestfriend,sad,1
S101,child,8.743378995433789,M,friend,happy,1
S101,child,8.743378995433789,M,friend,sad,0
S102,child,7.016438356164383,M,bestfriend,happy,1
S102,child,7.016438356164383,M,bestfriend,sad,1
S102,child,7.016438356164383,M,friend,happy,1
S102,child,7.016438356164383,M,friend,sad,0
S103,child,9.535616438356165,F,bestfriend,happy,1
S103,child,9.535616438356165,F,bestfriend,sad,1
S103,child,9.535616438356165,F,friend,happy,0
S103,child,9.535616438356165,F,friend,sad,1
S104,child,9.674885844748857,M,bestfriend,happy,1
S104,child,9.674885844748857,M,bestfriend,sad,1
S104,child,9.674885844748857,M,friend,happy,0
S104,child,9.674885844748857,M,friend,sad,0
S105,child,8.20228310502283,F,bestfriend,happy,1
S105,child,8.20228310502283,F,bestfriend,sad,1
S105,child,8.20228310502283,F,friend,happy,0
S105,child,8.20228310502283,F,friend,sad,1
